,Question_ID,Question_Text,Reference_Answer_ID,Reference_Answer_Text,Student_Answer_ID,Student_Answer_Text,Student_Answer_Accuracy
0,ME_66a,Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?,ME_66a-a1,"No, string is an insulator, so the pathway would not be completed.",ME.66a.101.1,No because a string is not made of iron or steel.,partially_correct_incomplete
1,ME_66a,Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?,ME_66a-a1,"No, string is an insulator, so the pathway would not be completed.",ME.66a.102.1,It would not work. It would have to be a wire to be able to work because it is not metal.,partially_correct_incomplete
2,ME_66a,Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?,ME_66a-a1,"No, string is an insulator, so the pathway would not be completed.",ME.66a.107.1,"No, because string is not made of metal and it cannot conduct electricity.",correct
3,ME_66a,Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?,ME_66a-a1,"No, string is an insulator, so the pathway would not be completed.",ME.66a.108.1,No because it need to be made of metal to conduct electricity.,correct
4,ME_66a,Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?,ME_66a-a1,"No, string is an insulator, so the pathway would not be completed.",ME.66a.111.1,No because the electricity will not go through the string because it has to be some steel or iron.,partially_correct_incomplete
5,ME_66a,Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?,ME_66a-a1,"No, string is an insulator, so the pathway would not be completed.",ME.66a.113.1,Because it will not let electricity through the string.,correct
6,ME_66a,Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?,ME_66a-a1,"No, string is an insulator, so the pathway would not be completed.",ME.66a.118.1,No it is not metal.,partially_correct_incomplete
7,ME_66a,Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?,ME_66a-a1,"No, string is an insulator, so the pathway would not be completed.",ME.66a.119.1,No because a piece of string is not a conductor.,correct
8,ME_66a,Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?,ME_66a-a1,"No, string is an insulator, so the pathway would not be completed.",ME.66a.120.1,"No, because Electricity can only go thorough objects that contain metal.",correct
9,ME_66a,Look at the circuit in the picture. The gap between the D-cell and the switch needs to be connected. Can you use a piece of string to make the connection? Why or why not?,ME_66a-a1,"No, string is an insulator, so the pathway would not be completed.",ME.66a.121.1,"No, It has to be a wire to connect. The wire has things in it to connect it.",partially_correct_incomplete
